Trip,Sample Type,Hormone,Control N,Treated N,p-value,Effect Size,Effect Category,Conclusion,Causation
3,698,JA,4,4,0.8857,0.125,Small,No Significant Difference,Possibly Random or Insufficient Data
4,698,JA,4,4,0.4857,-0.375,Large,No Significant Difference,Possibly Random or Insufficient Data
1,680,JA,4,4,0.6857,0.25,Medium,No Significant Difference,Possibly Random or Insufficient Data
2,680,JA,4,4,0.8857,-0.125,Small,No Significant Difference,Possibly Random or Insufficient Data
3,680,JA,4,4,0.1143,0.75,Large,No Significant Difference,Possibly Random or Insufficient Data
4,680,JA,4,4,0.0286,-1.0,Large,Significant Difference,Likely Not Random
1,402,JA,4,4,0.3429,-0.5,Large,No Significant Difference,Possibly Random or Insufficient Data
2,402,JA,4,4,0.8857,0.125,Small,No Significant Difference,Possibly Random or Insufficient Data
3,402,JA,4,4,0.6857,0.25,Medium,No Significant Difference,Possibly Random or Insufficient Data
4,402,JA,4,4,0.1143,-0.75,Large,No Significant Difference,Possibly Random or Insufficient Data
1,171,JA,4,4,1.0,0.0,Small,No Significant Difference,Possibly Random or Insufficient Data
2,171,JA,4,4,0.8857,0.125,Small,No Significant Difference,Possibly Random or Insufficient Data
3,171,JA,4,4,0.3429,0.5,Large,No Significant Difference,Possibly Random or Insufficient Data
4,171,JA,4,4,0.3429,-0.5,Large,No Significant Difference,Possibly Random or Insufficient Data
1,703,JA,4,4,0.6857,0.25,Medium,No Significant Difference,Possibly Random or Insufficient Data
2,703,JA,4,4,0.1143,0.75,Large,No Significant Difference,Possibly Random or Insufficient Data
3,703,JA,4,4,0.4857,-0.375,Large,No Significant Difference,Possibly Random or Insufficient Data
4,703,JA,4,4,0.1143,0.75,Large,No Significant Difference,Possibly Random or Insufficient Data
1,609,JA,4,4,0.6857,0.25,Medium,No Significant Difference,Possibly Random or Insufficient Data
2,609,JA,4,4,0.6857,-0.25,Medium,No Significant Difference,Possibly Random or Insufficient Data
3,609,JA,4,4,0.8857,-0.125,Small,No Significant Difference,Possibly Random or Insufficient Data
4,609,JA,4,4,0.3429,-0.5,Large,No Significant Difference,Possibly Random or Insufficient Data
1,35,JA,4,4,0.4857,-0.375,Large,No Significant Difference,Possibly Random or Insufficient Data
2,35,JA,4,4,1.0,0.0,Small,No Significant Difference,Possibly Random or Insufficient Data
3,35,JA,4,4,0.3429,-0.5,Large,No Significant Difference,Possibly Random or Insufficient Data
4,35,JA,4,4,0.8857,0.125,Small,No Significant Difference,Possibly Random or Insufficient Data
1,887,IAA,4,4,0.3429,-0.5,Large,No Significant Difference,Possibly Random or Insufficient Data
2,887,IAA,4,4,0.6857,0.25,Medium,No Significant Difference,Possibly Random or Insufficient Data
3,887,IAA,4,4,0.6857,-0.25,Medium,No Significant Difference,Possibly Random or Insufficient Data
4,887,IAA,4,4,0.6857,0.25,Medium,No Significant Difference,Possibly Random or Insufficient Data
1,735,IAA,4,4,0.8857,-0.125,Small,No Significant Difference,Possibly Random or Insufficient Data
2,735,IAA,4,4,0.2,-0.625,Large,No Significant Difference,Possibly Random or Insufficient Data
3,735,IAA,4,4,0.4857,0.375,Large,No Significant Difference,Possibly Random or Insufficient Data
4,735,IAA,4,4,0.1143,0.75,Large,No Significant Difference,Possibly Random or Insufficient Data
1,698,IAA,4,4,0.2,0.625,Large,No Significant Difference,Possibly Random or Insufficient Data
2,698,IAA,4,4,0.8857,-0.125,Small,No Significant Difference,Possibly Random or Insufficient Data
3,698,IAA,4,4,1.0,0.0,Small,No Significant Difference,Possibly Random or Insufficient Data
4,698,IAA,4,4,0.3429,-0.5,Large,No Significant Difference,Possibly Random or Insufficient Data
1,680,IAA,4,4,0.1143,0.75,Large,No Significant Difference,Possibly Random or Insufficient Data
2,680,IAA,4,4,0.4857,0.375,Large,No Significant Difference,Possibly Random or Insufficient Data
3,680,IAA,4,4,0.8857,0.125,Small,No Significant Difference,Possibly Random or Insufficient Data
4,680,IAA,4,4,0.3429,0.5,Large,No Significant Difference,Possibly Random or Insufficient Data
1,402,IAA,4,4,1.0,0.0,Small,No Significant Difference,Possibly Random or Insufficient Data
2,402,IAA,4,4,0.8857,-0.125,Small,No Significant Difference,Possibly Random or Insufficient Data
3,402,IAA,4,4,0.3094,-0.5,Large,No Significant Difference,Possibly Random or Insufficient Data
4,402,IAA,4,4,0.4857,-0.375,Large,No Significant Difference,Possibly Random or Insufficient Data
1,171,IAA,4,4,0.2,0.625,Large,No Significant Difference,Possibly Random or Insufficient Data
2,171,IAA,4,4,1.0,0.0,Small,No Significant Difference,Possibly Random or Insufficient Data
3,171,IAA,4,4,0.6857,0.25,Medium,No Significant Difference,Possibly Random or Insufficient Data
4,171,IAA,4,4,0.0571,-0.875,Large,No Significant Difference,Possibly Random or Insufficient Data
1,703,IAA,4,4,0.3429,0.5,Large,No Significant Difference,Possibly Random or Insufficient Data
2,703,IAA,4,4,0.8857,0.125,Small,No Significant Difference,Possibly Random or Insufficient Data
3,703,IAA,4,4,0.6857,0.25,Medium,No Significant Difference,Possibly Random or Insufficient Data
4,703,IAA,4,4,0.6857,0.25,Medium,No Significant Difference,Possibly Random or Insufficient Data
1,609,IAA,4,4,0.4857,-0.375,Large,No Significant Difference,Possibly Random or Insufficient Data
2,609,IAA,4,4,0.4857,-0.375,Large,No Significant Difference,Possibly Random or Insufficient Data
3,609,IAA,4,4,0.4857,-0.375,Large,No Significant Difference,Possibly Random or Insufficient Data
4,609,IAA,4,4,0.1143,-0.75,Large,No Significant Difference,Possibly Random or Insufficient Data
1,35,IAA,4,4,0.3429,0.5,Large,No Significant Difference,Possibly Random or Insufficient Data
2,35,IAA,4,4,0.6857,0.25,Medium,No Significant Difference,Possibly Random or Insufficient Data
3,35,IAA,4,4,0.8857,-0.125,Small,No Significant Difference,Possibly Random or Insufficient Data
4,35,IAA,4,4,0.3429,0.5,Large,No Significant Difference,Possibly Random or Insufficient Data
1,887,SA,4,4,0.4857,-0.375,Large,No Significant Difference,Possibly Random or Insufficient Data
2,887,SA,4,4,0.1143,0.75,Large,No Significant Difference,Possibly Random or Insufficient Data
3,887,SA,4,4,0.0286,1.0,Large,Significant Difference,Likely Not Random
4,887,SA,4,4,0.3429,0.5,Large,No Significant Difference,Possibly Random or Insufficient Data
1,735,SA,4,4,0.1143,-0.75,Large,No Significant Difference,Possibly Random or Insufficient Data
2,735,SA,4,4,0.4857,-0.375,Large,No Significant Difference,Possibly Random or Insufficient Data
3,735,SA,4,4,0.6857,0.25,Medium,No Significant Difference,Possibly Random or Insufficient Data
4,735,SA,4,4,1.0,0.0,Small,No Significant Difference,Possibly Random or Insufficient Data
1,698,SA,4,4,0.6857,0.25,Medium,No Significant Difference,Possibly Random or Insufficient Data
2,698,SA,4,4,0.3429,0.5,Large,No Significant Difference,Possibly Random or Insufficient Data
3,698,SA,4,4,0.4857,0.375,Large,No Significant Difference,Possibly Random or Insufficient Data
4,698,SA,4,4,0.3429,0.5,Large,No Significant Difference,Possibly Random or Insufficient Data
1,680,SA,4,4,0.8857,-0.125,Small,No Significant Difference,Possibly Random or Insufficient Data
2,680,SA,4,4,0.6857,-0.25,Medium,No Significant Difference,Possibly Random or Insufficient Data
3,680,SA,4,4,0.2,0.625,Large,No Significant Difference,Possibly Random or Insufficient Data
4,680,SA,4,4,1.0,0.0,Small,No Significant Difference,Possibly Random or Insufficient Data
1,402,SA,4,4,0.0571,0.875,Large,No Significant Difference,Possibly Random or Insufficient Data
2,402,SA,4,4,0.4857,0.375,Large,No Significant Difference,Possibly Random or Insufficient Data
3,402,SA,4,4,0.6857,-0.25,Medium,No Significant Difference,Possibly Random or Insufficient Data
4,402,SA,4,4,0.4857,-0.375,Large,No Significant Difference,Possibly Random or Insufficient Data
1,171,SA,4,4,0.6857,-0.25,Medium,No Significant Difference,Possibly Random or Insufficient Data
2,171,SA,4,4,0.8857,-0.125,Small,No Significant Difference,Possibly Random or Insufficient Data
3,171,SA,4,4,0.6857,0.25,Medium,No Significant Difference,Possibly Random or Insufficient Data
4,171,SA,4,4,0.0286,1.0,Large,Significant Difference,Likely Not Random
1,703,SA,4,4,0.4857,0.375,Large,No Significant Difference,Possibly Random or Insufficient Data
2,703,SA,4,4,0.2,0.625,Large,No Significant Difference,Possibly Random or Insufficient Data
3,703,SA,4,4,0.3429,-0.5,Large,No Significant Difference,Possibly Random or Insufficient Data
4,703,SA,4,4,0.6857,-0.25,Medium,No Significant Difference,Possibly Random or Insufficient Data
1,609,SA,4,4,0.1143,-0.75,Large,No Significant Difference,Possibly Random or Insufficient Data
2,609,SA,4,4,0.8857,0.125,Small,No Significant Difference,Possibly Random or Insufficient Data
3,609,SA,4,4,0.0571,-0.875,Large,No Significant Difference,Possibly Random or Insufficient Data
4,609,SA,4,4,0.4857,-0.375,Large,No Significant Difference,Possibly Random or Insufficient Data
1,35,SA,4,4,1.0,0.0,Small,No Significant Difference,Possibly Random or Insufficient Data
2,35,SA,4,4,1.0,0.0,Small,No Significant Difference,Possibly Random or Insufficient Data
3,35,SA,4,4,0.8857,-0.125,Small,No Significant Difference,Possibly Random or Insufficient Data
4,35,SA,4,4,0.6857,-0.25,Medium,No Significant Difference,Possibly Random or Insufficient Data
1,887,DHZ,4,4,1.0,0.0625,Small,No Significant Difference,Possibly Random or Insufficient Data
2,887,DHZ,4,4,0.1143,-0.75,Large,No Significant Difference,Possibly Random or Insufficient Data
3,887,DHZ,4,4,0.5516,-0.3125,Medium,No Significant Difference,Possibly Random or Insufficient Data
4,887,DHZ,4,4,0.4568,-0.375,Large,No Significant Difference,Possibly Random or Insufficient Data
1,735,DHZ,4,4,0.2975,-0.5,Large,No Significant Difference,Possibly Random or Insufficient Data
2,735,DHZ,4,4,1.0,0.0625,Small,No Significant Difference,Possibly Random or Insufficient Data
3,735,DHZ,4,4,1.0,0.0625,Small,No Significant Difference,Possibly Random or Insufficient Data
4,735,DHZ,4,4,0.3807,0.4375,Large,No Significant Difference,Possibly Random or Insufficient Data
1,698,DHZ,4,4,1.0,0.0,Small,No Significant Difference,Possibly Random or Insufficient Data
2,698,DHZ,4,4,1.0,-0.0625,Small,No Significant Difference,Possibly Random or Insufficient Data
3,698,DHZ,4,4,1.0,-0.0625,Small,No Significant Difference,Possibly Random or Insufficient Data
4,698,DHZ,4,4,0.4857,-0.375,Large,No Significant Difference,Possibly Random or Insufficient Data
1,680,DHZ,4,4,0.2425,0.5625,Large,No Significant Difference,Possibly Random or Insufficient Data
2,680,DHZ,4,4,0.4651,0.375,Large,No Significant Difference,Possibly Random or Insufficient Data
3,680,DHZ,4,4,0.8831,0.125,Small,No Significant Difference,Possibly Random or Insufficient Data
4,680,DHZ,4,4,0.1143,-0.75,Large,No Significant Difference,Possibly Random or Insufficient Data
1,402,DHZ,4,4,0.6612,0.25,Medium,No Significant Difference,Possibly Random or Insufficient Data
2,402,DHZ,4,4,0.5614,-0.3125,Medium,No Significant Difference,Possibly Random or Insufficient Data
3,402,DHZ,4,4,0.3719,0.4375,Large,No Significant Difference,Possibly Random or Insufficient Data
4,402,DHZ,4,4,0.3429,-0.5,Large,No Significant Difference,Possibly Random or Insufficient Data
1,171,DHZ,4,4,0.8809,-0.125,Small,No Significant Difference,Possibly Random or Insufficient Data
2,171,DHZ,4,4,0.4596,0.375,Large,No Significant Difference,Possibly Random or Insufficient Data
3,171,DHZ,4,4,0.766,0.1875,Medium,No Significant Difference,Possibly Random or Insufficient Data
4,171,DHZ,4,4,0.2454,-0.5625,Large,No Significant Difference,Possibly Random or Insufficient Data
1,703,DHZ,4,4,0.8817,0.125,Small,No Significant Difference,Possibly Random or Insufficient Data
2,703,DHZ,4,4,0.5516,0.3125,Medium,No Significant Difference,Possibly Random or Insufficient Data
3,703,DHZ,4,4,0.4568,-0.375,Large,No Significant Difference,Possibly Random or Insufficient Data
4,703,DHZ,4,4,0.2396,-0.5625,Large,No Significant Difference,Possibly Random or Insufficient Data
1,609,DHZ,4,4,0.4596,0.375,Large,No Significant Difference,Possibly Random or Insufficient Data
2,609,DHZ,4,4,1.0,0.0,Small,No Significant Difference,Possibly Random or Insufficient Data
3,609,DHZ,4,4,0.3807,-0.4375,Large,No Significant Difference,Possibly Random or Insufficient Data
4,609,DHZ,4,4,0.7702,-0.1875,Medium,No Significant Difference,Possibly Random or Insufficient Data
1,35,DHZ,4,4,0.5566,-0.3125,Medium,No Significant Difference,Possibly Random or Insufficient Data
2,35,DHZ,4,4,0.5516,-0.3125,Medium,No Significant Difference,Possibly Random or Insufficient Data
3,35,DHZ,4,4,0.2425,-0.5625,Large,No Significant Difference,Possibly Random or Insufficient Data
4,35,DHZ,4,4,0.1913,-0.625,Large,No Significant Difference,Possibly Random or Insufficient Data
1,887,iP,4,4,0.2471,0.5,Large,No Significant Difference,Possibly Random or Insufficient Data
2,887,iP,4,4,1.0,0.0,Small,No Significant Difference,Possibly Random or Insufficient Data
3,887,iP,4,4,0.1814,-0.5,Large,No Significant Difference,Possibly Random or Insufficient Data
4,887,iP,4,4,0.0885,-0.75,Large,No Significant Difference,Possibly Random or Insufficient Data
1,735,iP,4,4,1.0,0.0,Small,No Significant Difference,Possibly Random or Insufficient Data
2,735,iP,4,4,1.0,0.0,Small,No Significant Difference,Possibly Random or Insufficient Data
3,735,iP,4,4,0.4533,0.25,Medium,No Significant Difference,Possibly Random or Insufficient Data
4,735,iP,4,4,0.8744,0.125,Small,No Significant Difference,Possibly Random or Insufficient Data
1,698,iP,4,4,1.0,0.0,Small,No Significant Difference,Possibly Random or Insufficient Data
2,698,iP,4,4,1.0,0.0,Small,No Significant Difference,Possibly Random or Insufficient Data
3,698,iP,4,4,1.0,0.0,Small,No Significant Difference,Possibly Random or Insufficient Data
4,698,iP,4,4,0.4292,-0.375,Large,No Significant Difference,Possibly Random or Insufficient Data
1,680,iP,4,4,1.0,0.0,Small,No Significant Difference,Possibly Random or Insufficient Data
2,680,iP,4,4,1.0,0.0,Small,No Significant Difference,Possibly Random or Insufficient Data
3,680,iP,4,4,0.2568,-0.4375,Large,No Significant Difference,Possibly Random or Insufficient Data
4,680,iP,4,4,0.5412,-0.3125,Medium,No Significant Difference,Possibly Random or Insufficient Data
1,402,iP,4,4,0.4533,0.25,Medium,No Significant Difference,Possibly Random or Insufficient Data
2,402,iP,4,4,1.0,0.0,Small,No Significant Difference,Possibly Random or Insufficient Data
3,402,iP,4,4,1.0,0.0,Small,No Significant Difference,Possibly Random or Insufficient Data
4,402,iP,4,4,0.64,0.25,Medium,No Significant Difference,Possibly Random or Insufficient Data
1,171,iP,4,4,0.4533,0.25,Medium,No Significant Difference,Possibly Random or Insufficient Data
2,171,iP,4,4,0.1814,-0.5,Large,No Significant Difference,Possibly Random or Insufficient Data
3,171,iP,4,4,0.7389,0.1875,Medium,No Significant Difference,Possibly Random or Insufficient Data
4,171,iP,4,4,0.4533,-0.25,Medium,No Significant Difference,Possibly Random or Insufficient Data
1,703,iP,4,4,1.0,0.0,Small,No Significant Difference,Possibly Random or Insufficient Data
2,703,iP,4,4,0.6084,0.25,Medium,No Significant Difference,Possibly Random or Insufficient Data
3,703,iP,4,4,1.0,0.0,Small,No Significant Difference,Possibly Random or Insufficient Data
4,703,iP,4,4,0.2568,-0.4375,Large,No Significant Difference,Possibly Random or Insufficient Data
1,609,iP,4,4,1.0,0.0,Small,No Significant Difference,Possibly Random or Insufficient Data
2,609,iP,4,4,1.0,0.0,Small,No Significant Difference,Possibly Random or Insufficient Data
3,609,iP,4,4,0.6084,-0.25,Medium,No Significant Difference,Possibly Random or Insufficient Data
4,609,iP,4,4,0.1606,-0.625,Large,No Significant Difference,Possibly Random or Insufficient Data
1,35,iP,4,4,1.0,0.0,Small,No Significant Difference,Possibly Random or Insufficient Data
2,35,iP,4,4,1.0,0.0,Small,No Significant Difference,Possibly Random or Insufficient Data
3,35,iP,4,4,1.0,0.0,Small,No Significant Difference,Possibly Random or Insufficient Data
4,35,iP,4,4,0.6552,-0.25,Medium,No Significant Difference,Possibly Random or Insufficient Data
1,887,tZ,4,4,0.76,0.1875,Medium,No Significant Difference,Possibly Random or Insufficient Data
2,887,tZ,4,4,0.1367,-0.625,Large,No Significant Difference,Possibly Random or Insufficient Data
3,887,tZ,4,4,0.7389,0.1875,Medium,No Significant Difference,Possibly Random or Insufficient Data
4,887,tZ,4,4,0.448,-0.375,Large,No Significant Difference,Possibly Random or Insufficient Data
1,735,tZ,4,4,0.8744,-0.125,Small,No Significant Difference,Possibly Random or Insufficient Data
2,735,tZ,4,4,1.0,0.0,Small,No Significant Difference,Possibly Random or Insufficient Data
3,735,tZ,4,4,0.4533,0.25,Medium,No Significant Difference,Possibly Random or Insufficient Data
4,735,tZ,4,4,1.0,-0.0625,Small,No Significant Difference,Possibly Random or Insufficient Data
1,698,tZ,4,4,0.1832,-0.625,Large,No Significant Difference,Possibly Random or Insufficient Data
2,698,tZ,4,4,0.6532,-0.25,Medium,No Significant Difference,Possibly Random or Insufficient Data
3,698,tZ,4,4,0.3529,-0.4375,Large,No Significant Difference,Possibly Random or Insufficient Data
4,698,tZ,4,4,1.0,0.0,Small,No Significant Difference,Possibly Random or Insufficient Data
1,680,tZ,4,4,0.76,0.1875,Medium,No Significant Difference,Possibly Random or Insufficient Data
2,680,tZ,4,4,0.6084,-0.25,Medium,No Significant Difference,Possibly Random or Insufficient Data
3,680,tZ,4,4,0.6084,0.25,Medium,No Significant Difference,Possibly Random or Insufficient Data
4,680,tZ,4,4,0.5516,-0.3125,Medium,No Significant Difference,Possibly Random or Insufficient Data
1,402,tZ,4,4,0.1342,0.6875,Large,No Significant Difference,Possibly Random or Insufficient Data
2,402,tZ,4,4,0.2849,-0.5,Large,No Significant Difference,Possibly Random or Insufficient Data
3,402,tZ,4,4,0.505,0.3125,Medium,No Significant Difference,Possibly Random or Insufficient Data
4,402,tZ,4,4,0.5357,-0.3125,Medium,No Significant Difference,Possibly Random or Insufficient Data
1,171,tZ,4,4,0.5516,-0.3125,Medium,No Significant Difference,Possibly Random or Insufficient Data
2,171,tZ,4,4,0.2338,-0.5625,Large,No Significant Difference,Possibly Random or Insufficient Data
3,171,tZ,4,4,0.8809,0.125,Small,No Significant Difference,Possibly Random or Insufficient Data
4,171,tZ,4,4,0.1215,-0.6875,Large,No Significant Difference,Possibly Random or Insufficient Data
1,703,tZ,4,4,0.3529,0.4375,Large,No Significant Difference,Possibly Random or Insufficient Data
2,703,tZ,4,4,0.0632,0.8125,Large,No Significant Difference,Possibly Random or Insufficient Data
3,703,tZ,4,4,0.0632,-0.8125,Large,No Significant Difference,Possibly Random or Insufficient Data
4,703,tZ,4,4,0.8809,0.125,Small,No Significant Difference,Possibly Random or Insufficient Data
1,609,tZ,4,4,0.6084,0.25,Medium,No Significant Difference,Possibly Random or Insufficient Data
2,609,tZ,4,4,1.0,0.0625,Small,No Significant Difference,Possibly Random or Insufficient Data
3,609,tZ,4,4,0.505,-0.3125,Medium,No Significant Difference,Possibly Random or Insufficient Data
4,609,tZ,4,4,0.6423,0.25,Medium,No Significant Difference,Possibly Random or Insufficient Data
1,35,tZ,4,4,0.036,-0.9375,Large,Significant Difference,Likely Not Random
2,35,tZ,4,4,0.6084,0.25,Medium,No Significant Difference,Possibly Random or Insufficient Data
3,35,tZ,4,4,0.1342,-0.6875,Large,No Significant Difference,Possibly Random or Insufficient Data
4,35,tZ,4,4,0.1367,-0.625,Large,No Significant Difference,Possibly Random or Insufficient Data
