Descriptive Statistics Output
======================================================================

Descriptive Statistics for GA4:
 Sample_Type  Trip_Number  Min_Control  Median_Control  Q3_Control  Max_Control  Min_Treated  Median_Treated  Q3_Treated  Max_Treated
         171            1        44.39          60.915     67.2400        80.62        39.42          68.100     78.6075       105.66
         171            2        40.79          55.475     72.3825        88.14        48.07          52.255     60.1300        71.59
         171            3        33.99          42.615    104.3825       281.39        32.28          41.515     91.7375       234.17
         171            4        56.26          62.235     90.7400       167.93        48.06          49.885     52.1400        55.71
         402            1        40.54          57.845     69.9750        76.23        24.01          37.610     39.3450        41.97
         402            2        30.49          46.840     59.7750        67.23        32.09          35.960     38.1650        43.88
         402            3        29.57          41.115     44.3125        46.42        34.82          46.695     75.2750       130.07
         402            4        42.94          49.840     56.0525        65.30        26.99          76.250    106.3450       146.98
         609            1        41.27          65.505     73.5675        77.10        71.71         106.925    130.0125       166.95
         609            2        66.25          83.600     94.2125       113.75        67.03          79.085     85.7600        93.80
         609            3        94.63         104.590    117.8300       134.39       124.00         145.480    152.7325       165.43
         609            4        95.34         184.075    208.6775       248.99       181.65         202.935    204.3400       208.06
         680            1        69.53          80.800     89.2700        95.63        79.79          80.335     84.2650        95.53
         680            2        48.78          64.280     80.4975       101.46        59.67          70.730     78.0125        78.23
         680            3        48.75          97.025    138.4200       176.70        44.66          50.610     54.6575        65.84
         680            4       127.41         176.545    218.7475       308.23       135.13         183.795    230.7175       231.82
         698            1        42.38          55.005    100.0050       200.40        34.99          51.655     77.4875       128.84
         698            2        31.49          48.160     62.8300       106.51        38.58          44.110     44.6750        44.90
         698            3        34.25         138.895    248.7350       268.97        25.46          41.020     50.3375        58.25
         698            4        36.16          53.765     57.3500        63.80        39.10          44.490     47.9150        51.59
         703            1        32.00          35.700     64.6400       144.56        30.56          32.265     34.5725        40.82
         703            2        43.64          51.505     55.0475        59.21        20.90          41.050     47.7025        53.20
         703            3        42.41          56.100     64.2225        65.73        55.97          69.040     78.1425        88.26
         703            4        50.10          58.310     63.7600        75.07        40.36          71.255     81.5425       103.72
         735            1        34.67          36.010     42.5450        59.51        50.82          98.965    151.2875       182.87
         735            2        25.98          32.425     39.0200        54.38        23.22          65.330     95.3600       129.17
         735            3        28.56          43.520     58.8250        68.62        25.81          37.740     42.2525        46.88
         735            4        35.03          42.785     54.9675        77.31        33.75          44.415     56.0550        74.25
         887            1       110.17         149.615    226.5875       397.19       147.40         179.840    199.9725       237.24
         887            2       154.90         337.225    492.4775       603.68       133.89         159.160    170.7575       190.52
         887            3       106.70         133.270    140.7125       161.63        76.13          84.335     86.5375        89.98
         887            4        89.96         131.975    190.3375       293.08        60.47          89.565    117.7200       128.46
======================================================================

Descriptive Statistics for DHZ:
 Sample_Type  Trip_Number  Min_Control  Median_Control  Q3_Control  Max_Control  Min_Treated  Median_Treated  Q3_Treated  Max_Treated
         171            1         0.07           0.085      0.0925         0.10         0.07           0.090      0.1000         0.10
         171            2         0.15           0.155      0.1650         0.18         0.12           0.145      0.2075         0.38
         171            3         0.15           0.165      0.1825         0.19         0.14           0.155      0.1675         0.19
         171            4         0.14           0.175      0.1825         0.19         0.16           0.200      0.2125         0.22
         402            1         0.08           0.125      0.1300         0.13         0.07           0.090      0.1025         0.14
         402            2         0.10           0.120      0.1425         0.18         0.12           0.135      0.1450         0.16
         402            3         0.14           0.170      0.1700         0.17         0.09           0.125      0.1575         0.21
         402            4         0.16           0.205      0.2150         0.23         0.12           0.260      0.2725         0.28
         609            1         0.08           0.090      0.1050         0.12         0.06           0.075      0.1025         0.17
         609            2         0.12           0.180      0.1975         0.25         0.11           0.185      0.1975         0.22
         609            3         0.20           0.225      0.2350         0.25         0.18           0.255      0.2600         0.26
         609            4         0.18           0.310      0.3175         0.34         0.24           0.295      0.3425         0.35
         680            1         0.07           0.100      0.1150         0.13         0.06           0.080      0.0825         0.09
         680            2         0.14           0.165      0.2025         0.24         0.12           0.140      0.1700         0.20
         680            3         0.17           0.205      0.2100         0.21         0.17           0.195      0.2100         0.24
         680            4         0.19           0.215      0.2500         0.31         0.24           0.295      0.3425         0.35
         698            1         0.10           0.105      0.1125         0.12         0.09           0.110      0.1325         0.14
         698            2         0.11           0.165      0.1950         0.21         0.14           0.160      0.1700         0.20
         698            3         0.16           0.190      0.2275         0.28         0.17           0.200      0.2100         0.24
         698            4         0.21           0.300      0.3425         0.44         0.23           0.345      0.3925         0.52
         703            1         0.07           0.085      0.0900         0.09         0.06           0.080      0.0850         0.10
         703            2         0.12           0.135      0.1425         0.15         0.05           0.130      0.1325         0.14
         703            3         0.11           0.135      0.1400         0.14         0.13           0.145      0.1700         0.20
         703            4         0.20           0.245      0.2500         0.25         0.20           0.270      0.2775         0.30
         735            1         0.04           0.050      0.0650         0.08         0.05           0.075      0.0800         0.08
         735            2         0.05           0.070      0.0825         0.09         0.05           0.065      0.0750         0.09
         735            3         0.10           0.135      0.1425         0.15         0.11           0.135      0.1400         0.14
         735            4         0.22           0.245      0.2675         0.32         0.18           0.210      0.2525         0.29
         887            1         0.06           0.115      0.1450         0.16         0.09           0.110      0.1125         0.12
         887            2         0.09           0.110      0.1225         0.13         0.11           0.145      0.1575         0.18
         887            3         0.12           0.130      0.1350         0.15         0.12           0.145      0.1625         0.17
         887            4         0.19           0.200      0.2100         0.24         0.17           0.240      0.2450         0.26
======================================================================

Descriptive Statistics for iP:
 Sample_Type  Trip_Number  Min_Control  Median_Control  Q3_Control  Max_Control  Min_Treated  Median_Treated  Q3_Treated  Max_Treated
         171            1         0.01           0.010      0.0125         0.02         0.01           0.010      0.0100         0.01
         171            2         0.01           0.010      0.0100         0.01         0.01           0.015      0.0200         0.02
         171            3         0.01           0.020      0.0225         0.03         0.01           0.020      0.0200         0.02
         171            4         0.03           0.040      0.0400         0.04         0.04           0.040      0.0400         0.04
         402            1         0.01           0.010      0.0100         0.01         0.00           0.010      0.0100         0.01
         402            2         0.01           0.010      0.0100         0.01         0.01           0.010      0.0100         0.01
         402            3         0.01           0.010      0.0100         0.01         0.01           0.010      0.0100         0.01
         402            4         0.01           0.020      0.0300         0.03         0.01           0.015      0.0200         0.02
         609            1         0.01           0.010      0.0100         0.01         0.01           0.010      0.0100         0.01
         609            2         0.01           0.010      0.0100         0.01         0.01           0.010      0.0100         0.01
         609            3         0.01           0.015      0.0200         0.02         0.01           0.020      0.0200         0.02
         609            4         0.02           0.025      0.0325         0.04         0.03           0.040      0.0400         0.04
         680            1         0.01           0.010      0.0100         0.01         0.01           0.010      0.0100         0.01
         680            2         0.01           0.010      0.0100         0.01         0.01           0.010      0.0100         0.01
         680            3         0.01           0.020      0.0200         0.02         0.02           0.020      0.0225         0.03
         680            4         0.03           0.035      0.0425         0.05         0.03           0.045      0.0500         0.05
         698            1         0.01           0.010      0.0100         0.01         0.01           0.010      0.0100         0.01
         698            2         0.01           0.010      0.0100         0.01         0.01           0.010      0.0100         0.01
         698            3         0.01           0.010      0.0100         0.01         0.01           0.010      0.0100         0.01
         698            4         0.01           0.015      0.0200         0.02         0.01           0.020      0.0225         0.03
         703            1         0.01           0.010      0.0100         0.01         0.01           0.010      0.0100         0.01
         703            2         0.00           0.010      0.0100         0.01         0.00           0.005      0.0100         0.01
         703            3         0.01           0.010      0.0100         0.01         0.01           0.010      0.0100         0.01
         703            4         0.01           0.020      0.0200         0.02         0.02           0.020      0.0275         0.05
         735            1         0.01           0.010      0.0100         0.01         0.01           0.010      0.0100         0.01
         735            2         0.01           0.010      0.0100         0.01         0.01           0.010      0.0100         0.01
         735            3         0.01           0.010      0.0125         0.02         0.01           0.010      0.0100         0.01
         735            4         0.02           0.025      0.0300         0.03         0.01           0.025      0.0300         0.03
         887            1         0.01           0.020      0.0200         0.02         0.01           0.010      0.0125         0.02
         887            2         0.01           0.010      0.0100         0.01         0.01           0.010      0.0100         0.01
         887            3         0.01           0.010      0.0100         0.01         0.01           0.015      0.0200         0.02
         887            4         0.02           0.025      0.0300         0.03         0.03           0.035      0.0425         0.05
======================================================================

Descriptive Statistics for tZ:
 Sample_Type  Trip_Number  Min_Control  Median_Control  Q3_Control  Max_Control  Min_Treated  Median_Treated  Q3_Treated  Max_Treated
         171            1         0.02           0.040      0.0425         0.05         0.03           0.045      0.0525         0.06
         171            2         0.02           0.035      0.0400         0.04         0.03           0.045      0.0650         0.11
         171            3         0.03           0.045      0.0525         0.06         0.03           0.045      0.0500         0.05
         171            4         0.04           0.040      0.0425         0.05         0.04           0.060      0.0675         0.09
         402            1         0.03           0.045      0.0500         0.05         0.02           0.030      0.0325         0.04
         402            2         0.02           0.025      0.0325         0.04         0.03           0.035      0.0400         0.04
         402            3         0.03           0.040      0.0400         0.04         0.02           0.035      0.0400         0.04
         402            4         0.03           0.045      0.0500         0.05         0.03           0.050      0.0550         0.07
         609            1         0.02           0.030      0.0300         0.03         0.02           0.025      0.0300         0.03
         609            2         0.03           0.035      0.0425         0.05         0.02           0.040      0.0400         0.04
         609            3         0.03           0.030      0.0325         0.04         0.03           0.035      0.0425         0.05
         609            4         0.02           0.040      0.0425         0.05         0.03           0.035      0.0400         0.04
         680            1         0.03           0.050      0.0525         0.06         0.03           0.040      0.0525         0.06
         680            2         0.03           0.030      0.0325         0.04         0.03           0.035      0.0400         0.04
         680            3         0.03           0.040      0.0400         0.04         0.03           0.035      0.0400         0.04
         680            4         0.03           0.045      0.0525         0.06         0.04           0.050      0.0675         0.09
         698            1         0.03           0.040      0.0450         0.06         0.04           0.060      0.0725         0.08
         698            2         0.03           0.050      0.0650         0.08         0.04           0.060      0.0650         0.08
         698            3         0.04           0.050      0.0525         0.06         0.05           0.055      0.0650         0.08
         698            4         0.05           0.055      0.0675         0.09         0.03           0.060      0.0650         0.08
         703            1         0.03           0.035      0.0425         0.05         0.02           0.030      0.0325         0.04
         703            2         0.03           0.040      0.0425         0.05         0.01           0.030      0.0300         0.03
         703            3         0.02           0.030      0.0325         0.04         0.04           0.040      0.0425         0.05
         703            4         0.04           0.045      0.0525         0.06         0.03           0.045      0.0525         0.06
         735            1         0.01           0.025      0.0300         0.03         0.02           0.025      0.0300         0.03
         735            2         0.02           0.020      0.0225         0.03         0.02           0.020      0.0225         0.03
         735            3         0.03           0.030      0.0300         0.03         0.02           0.030      0.0300         0.03
         735            4         0.03           0.030      0.0350         0.05         0.03           0.030      0.0375         0.06
         887            1         0.03           0.050      0.0600         0.06         0.03           0.040      0.0450         0.06
         887            2         0.02           0.030      0.0300         0.03         0.03           0.035      0.0450         0.06
         887            3         0.03           0.030      0.0325         0.04         0.02           0.030      0.0325         0.04
         887            4         0.02           0.030      0.0350         0.05         0.03           0.040      0.0400         0.04
======================================================================
